t,S,I,R
2020-08-10,0.04895935,4.45e-6,3.62e-5
2020-09-28,0.04891092,1.329e-5,7.579e-5
2020-11-16,0.04877056,6.558e-5,0.00016386
2021-01-04,0.04845799,8.026e-5,0.00046175
