ABC,MCMC,SMC
0.132444,1.552317,0.789478
0.100907,1.553558,0.818665
0.101243,1.536973,0.784294
0.132255,1.595459,0.859807
0.101725,1.567768,0.792347
0.10147,1.558445,0.826923
0.102291,1.562956,0.78843
0.132933,1.578221,0.789742
0.102295,1.547844,0.819569
0.101595,1.577075,0.79032
0.132592,1.548247,0.792255
0.101761,1.576827,0.817652
0.101343,1.560237,0.822982
0.09971,1.560395,0.792204
0.133893,1.647543,0.790833
0.10151,1.553967,0.817938
0.10159,1.570185,0.790324
0.131642,1.542848,0.790255
0.101309,1.547062,0.817344
0.101667,1.554349,0.787463
0.131935,1.545063,0.786871
0.102031,1.543769,0.815521
0.101328,1.534721,0.788822
0.131955,1.566767,0.789454
0.100853,1.52565,0.815083
0.100595,1.660797,0.786302
0.132014,1.577607,0.787192
0.102058,1.569334,0.815598
0.101127,1.527222,0.784689
0.131933,1.570952,0.79628
0.101417,1.562006,0.821731
0.101497,1.541601,0.785244
0.13174,1.554863,0.784236
0.10133,1.552392,0.813746
0.101033,1.539666,0.787664
0.13148,1.562525,0.79028
0.102127,1.596076,0.815417
0.10146,1.546433,0.783113
0.131868,1.531304,0.789275
0.101319,1.527386,0.819012
0.101322,1.51718,0.788135
0.13181,1.547739,0.789013
0.101058,1.544429,0.815716
0.1014,1.529582,0.789809
0.132963,1.518598,0.783913
0.102056,1.548919,0.819495
0.099642,1.545477,0.814087
0.141007,1.559855,0.815425
0.101272,1.561901,0.78323
0.132156,1.548053,0.787399
0.100552,1.564959,0.815749
0.101672,1.565651,0.785776
0.131755,1.497295,0.785411
0.101202,1.54368,0.824686
0.101147,1.523974,0.787155
0.101502,1.570747,0.816186
0.100894,1.540948,0.787141
0.133026,1.552357,0.866855
0.101439,1.54079,0.814926
0.101412,1.567762,0.788452
0.133808,1.55142,0.787955
0.101338,1.572327,0.82065
0.099041,1.568126,0.789629
0.102594,1.540426,0.816556
0.100589,1.565663,0.786597
0.131539,1.549403,0.78512
0.101729,1.529241,0.818078
0.099397,1.605317,0.786988
0.101453,1.599159,0.843691
0.102193,1.560964,0.790182
0.132259,1.563553,0.789882
0.101144,1.538667,0.786717
0.131941,1.557893,0.792401
0.101027,1.558782,0.818228
0.100985,1.55521,0.792021
0.133628,1.534167,0.815883
0.101723,1.54378,0.791458
0.131608,1.510923,0.79152
0.109774,1.534583,0.81526
0.100424,1.6491,0.787817
0.101024,1.538579,0.811836
0.10085,1.535833,0.788098
0.132521,1.55181,0.788375
0.101333,1.54022,0.786976
0.132065,1.535045,0.789047
0.101466,1.563402,0.81886
0.100716,1.488422,0.790231
0.100867,1.525889,0.81753
0.109144,1.55024,0.787633
0.134235,1.524283,0.819782
0.10094,1.632594,0.791898
0.132019,1.54975,0.794071
0.100963,1.521208,0.787918
0.131491,1.558254,0.789667
0.100429,1.538745,0.816359
0.100143,1.515889,0.789436
0.101093,1.545087,0.817066
0.101288,1.565575,0.78989
0.100815,1.535345,0.822014
0.101509,1.56751,0.807597
0.132384,1.509691,0.818661
0.10142,1.618629,0.78716
0.13277,1.539854,0.78754
0.101548,1.564826,0.792318
0.131453,1.534873,0.791127
0.101008,1.544129,0.819418
0.09886,1.539806,0.791334
0.101107,1.545286,0.818603
0.100352,1.536519,0.786252
0.102553,1.564846,0.816663
0.101029,1.532557,0.788239
0.100945,1.54384,0.817483
0.101704,1.654133,0.791383
0.102225,1.538742,0.816306
0.101533,1.532288,0.790548
0.102013,1.550171,0.826607
0.101177,1.567791,0.788819
0.100998,1.557947,0.816982
0.101078,1.560401,0.783504
0.134296,1.479708,0.820331
0.101882,1.550949,0.790938
0.134478,1.515226,0.819757
0.100865,1.53267,0.875123
0.135348,1.505787,0.833319
0.117356,1.554713,0.788178
0.13477,1.526996,0.818396
0.101601,1.567877,0.785344
0.135114,1.524476,0.816089
0.101716,1.565551,0.792518
0.100874,1.561284,0.8152
0.10109,1.538099,0.788038
0.100829,1.529257,0.822755
0.104616,1.519975,0.790361
0.101416,1.559116,0.895114
0.102178,1.553168,0.789207
0.100765,1.535141,0.819534
0.100414,1.537126,0.78914
0.101174,1.547456,0.819926
0.099246,1.544419,0.789721
0.101622,1.526458,0.786117
0.131735,1.550789,0.791963
0.101199,1.561897,0.78819
0.132351,1.558887,0.789974
0.100967,1.547553,0.787379
0.132883,1.602941,0.828692
0.101272,1.530247,0.785205
0.134223,1.532549,0.81971
0.10141,1.560913,0.789316
0.101577,1.569241,0.81866
0.102897,1.564352,0.792718
0.101176,1.533979,0.820214
0.098794,1.547881,0.788363
0.101019,1.536084,0.787891
0.13155,1.554426,0.789732
0.102103,1.540678,0.788105
0.133682,1.601442,0.819895
0.101929,1.54555,0.789345
0.100612,1.519352,0.817995
0.101654,1.561226,0.788268
0.102033,1.540635,0.822642
0.098027,1.57018,0.792026
0.103109,1.529437,0.788204
0.131518,1.557073,0.791225
0.100683,1.547578,0.787126
0.134681,1.51564,0.81571
0.101617,1.544855,0.790153
0.101203,1.625193,0.819414
0.098394,1.54843,0.793536
0.100826,1.539137,0.788325
0.132452,1.518698,0.813753
0.101132,1.536271,0.786527
0.10132,1.577433,0.818733
0.101725,1.586201,0.789504
0.100992,1.537519,0.787724
0.132004,1.550794,0.788395
0.10176,1.546683,0.788681
0.135274,1.524277,0.818142
0.101537,1.63148,0.794137
0.10167,1.553479,0.786239
0.132833,1.54087,0.785382
0.101729,1.566242,0.789763
0.134052,1.523791,0.821012
0.101385,1.569155,0.789532
0.101456,1.586574,0.784541
0.133411,1.548714,0.78828
0.102126,1.548949,0.78907
0.134828,1.508087,0.816799
0.101016,1.558799,0.784881
0.110661,1.63622,0.79222
0.132569,1.553624,0.785906
0.101042,1.550505,0.79162
0.100474,1.548845,0.818878
0.10131,1.544387,0.790749
0.101099,1.54058,0.788612
0.133086,1.517344,0.818175
0.101461,1.545976,0.788233
0.101196,1.554656,0.786894
0.13305,1.569664,0.790945
0.101112,1.539972,0.881774
0.102727,1.557358,0.820665
0.099564,1.547357,0.791264
0.101336,1.556081,0.792071
0.134273,1.456933,0.820803
0.10112,1.548834,0.789227
0.100947,1.543443,0.788579
0.132968,1.51728,0.819868
0.102766,1.578215,0.788004
0.101792,1.546752,0.791476
0.132336,1.56411,0.788501
0.101222,1.55395,0.867788
0.1014,1.567677,0.823332
0.098256,1.557475,0.789654
0.100793,1.552808,0.788611
0.101352,1.571401,0.815052
0.099252,1.563002,0.792013
